test case,execution time (seconds),execution time (minutes),completed paths,generated tests,total instructions,status,error message,output directory
test_poly0,854,14.233333333333333,101,101,34446758,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-0
test_poly1,831,13.85,101,101,35626708,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-4
test_poly2,830,13.833333333333334,101,101,35203018,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-6
test_poly3,5122,85.36666666666666,101,98,91838732,FAIL,KLEE: ERROR: /home/klee/elina/elina_poly/tests/test_poly3.c:19: invalid klee_assume call (provably false),/home/klee/elina/elina_poly/tests/klee-out-7
test_poly4,2225,37.083333333333336,101,98,65553038,FAIL,KLEE: ERROR: /home/klee/elina/elina_poly/tests/test_poly4.c:18: invalid klee_assume call (provably false),/home/klee/elina/elina_poly/tests/klee-out-13
test_poly5,752,12.533333333333333,101,101,37589525,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-16
test_poly6,717,11.95,101,101,35059269,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-17
test_poly7,2222,37.03333333333333,101,101,64645127,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-20
test_poly8,2165,36.083333333333336,101,101,65622412,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-23
test_poly9,2215,36.916666666666664,101,101,71823858,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-28
test_poly10,5076,84.6,101,101,106061530,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-1
test_poly11,892,14.866666666666667,101,101,40812601,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-10
test_poly12,2636,43.93333333333333,101,98,68985151,FAIL,KLEE: ERROR: /home/klee/elina/elina_poly/tests/test_poly12.c:20: invalid klee_assume call (provably false),/home/klee/elina/elina_poly/tests/klee-out-12
test_poly13,2464,41.06666666666667,101,101,69217904,FAIL,KLEE: ERROR: /home/klee/elina/elina_poly/tests/test_poly13.c:20: invalid klee_assume call (provably false),/home/klee/elina/elina_poly/tests/klee-out-15
test_poly14,2244,37.4,101,101,72743980,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-19
test_poly15,743,12.383333333333333,101,101,34095333,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-22
test_poly16,816,13.6,101,101,43140813,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-26
test_poly17,2287,38.11666666666667,101,101,67514195,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-27
test_poly18,2030,33.833333333333336,101,101,66015559,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-30
test_poly19,3553,59.21666666666667,101,101,76041518,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-32
test_poly20,5000,83.33333333333333,101,101,111810538,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-2
test_poly21,937,15.616666666666667,101,101,44378320,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-9
test_poly22,2622,43.7,101,101,71341562,FAIL,KLEE: ERROR: /home/klee/elina/elina_poly/tests/test_poly22.c:20: invalid klee_assume call (provably false),/home/klee/elina/elina_poly/tests/klee-out-11
test_poly23,2285,38.083333333333336,101,101,70561509,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-14
test_poly24,2329,38.81666666666667,101,101,74882542,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-18
test_poly25,448,7.466666666666667,-,-,-,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-21
test_poly26,326,5.433333333333334,-,-,-,FAIL,KLEE: ERROR: /home/klee/elina/elina_poly/tests/test_poly26.c:23: invalid klee_assume call (provably false),/home/klee/elina/elina_poly/tests/klee-out-24
test_poly27,2235,37.25,101,101,69162412,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-25
test_poly28,2272,37.86666666666667,101,101,69027390,FAIL,KLEE: ERROR: /home/klee/elina/elina_poly/tests/test_poly28.c:20: invalid klee_assume call (provably false),/home/klee/elina/elina_poly/tests/klee-out-29
test_poly29,728,12.133333333333333,101,1,34303137,FAIL,KLEE: ERROR: /home/klee/elina/elina_poly/tests/test_poly29.c:19: invalid klee_assume call (provably false),/home/klee/elina/elina_poly/tests/klee-out-31
test_poly30,851,14.183333333333334,101,1,34784796,FAIL,"KLEE: ERROR: /home/klee/elina/elina_poly/tests/test_poly30.c:20: ASSERTION FAIL: opt_pk_is_eq(man, opt_pk_widening(man, bottom, polyhedron1), polyhedron1)",/home/klee/elina/elina_poly/tests/klee-out-3
test_poly31,2618,43.63333333333333,101,101,75752697,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-5
test_poly32,2701,45.016666666666666,101,101,70248039,PASS,-,/home/klee/elina/elina_poly/tests/klee-out-8
